127.0.0.1 - - [29/Jan/2024:09:45:17 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:45:18 -0800] "GET /Shopaholic/ HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:45:18 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:45:18 -0800] "GET /Shopaholic/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:15 -0800] "GET /Shopaholic/ HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:16 -0800] "GET /Shopaholic/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:16 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:16 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:18 -0800] "GET /Shopaholic/createaccount.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:19 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:19 -0800] "GET /Shopaholic/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:36 -0800] "POST /Shopaholic/SignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:36 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:36 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:36 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:50:46 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:15 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 302 -
